arquivo,long,lat,linha,nome
downloads/1029.kml,-35.26257251389325,-5.740821305662394,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26258299127221,-5.741045018658042,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262589110061526,-5.741279209032655,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26260679587722,-5.741550279781222,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26261718943715,-5.741738369688392,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26262791827321,-5.741927968338132,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262640407308936,-5.742121255025268,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26265390217304,-5.742320660501719,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26266412809491,-5.742527274414897,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26267292909324,-5.742713185027242,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262688267976046,-5.742896245792508,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26270645670593,-5.743119120597839,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26271819137037,-5.743310814723373,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26272741146386,-5.743499072268605,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26273487135768,-5.743736950680614,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26274375617504,-5.744011038914323,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26274970732629,-5.744214551523328,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262763537466526,-5.744440862908959,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26277535595,-5.744678154587746,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26278658770025,-5.744908070191741,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262795221060514,-5.745119210332632,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262804524973035,-5.745369829237461,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.2628184389323,-5.745613407343626,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.262832436710596,-5.745814153924584,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26283126324415,-5.745997717604041,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26287476532161,-5.746214892715216,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26275339536369,-5.746326288208365,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26254191994667,-5.746338358148933,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.2623332105577,-5.746351350098848,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26212768629193,-5.746359396725893,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26193113066256,-5.746370879933238,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26173675432801,-5.746392840519548,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.261556124314666,-5.746416980400682,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26140147820115,-5.746433157473803,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.261170975863934,-5.746469283476472,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.260608633980155,-5.746508594602346,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.260276375338435,-5.746522089466453,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.26003950275481,-5.746573219075799,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25985627435148,-5.74662066064775,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25963608175516,-5.746634742245078,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25939870625734,-5.746653936803341,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.259208688512444,-5.746667180210352,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25900802575052,-5.746681932359934,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25881993584335,-5.746727446094155,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25867015123367,-5.746841104701161,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.258510978892446,-5.747029529884458,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25838499888778,-5.747181074693799,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25823772884905,-5.747355921193957,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25808115489781,-5.747533198446035,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25792776606977,-5.74769857339561,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25775283575058,-5.747835366055369,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25756801478565,-5.747964531183243,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25737380608916,-5.748099563643336,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.2571957744658,-5.74821556918323,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25703107006848,-5.748335430398583,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.256880866363645,-5.748433582484722,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25670518167317,-5.748549839481711,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25648155249655,-5.74870808981359,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25629438459873,-5.748838847503066,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25608760304749,-5.748982513323426,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25587269105017,-5.749128526076675,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.2556520793587,-5.749278645962477,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25542752817273,-5.749430861324072,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.255214208737016,-5.749578215181828,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.255014300346375,-5.749712157994509,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25483735837042,-5.749833779409528,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25463921017945,-5.749966464936733,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25445162318647,-5.750098312273622,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25428029708564,-5.750218089669943,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.254085501655936,-5.750351864844561,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25398106314242,-5.750491842627525,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.254162698984146,-5.750615727156401,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25437006726861,-5.750722093507648,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.2545743342489,-5.750828543677926,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25481288321316,-5.750954523682594,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25499460287392,-5.751062566414475,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25511329062283,-5.751157030463219,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25514388456941,-5.751370182260871,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
downloads/1029.kml,-35.25502251461148,-5.751542514190078,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus"
