,arquivo,lon,lat,linha,nome,information,rua,bairro
312,downloads/1029.kml,-35.25432799011469,-5.774729456752539,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'historic': 'Três Reis Magos', 'road': 'Túnel de Igapó', 'suburb': 'Igapó', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296802', 'country': 'Brasil', 'country_code': 'br'}",Túnel de Igapó,Igapó
316,downloads/1029.kml,-35.253800852224224,-5.7755839079618445,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Viaduto de Igapó', 'suburb': 'Igapó', 'city_district': 'Região Norte', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296802', 'country': 'Brasil', 'country_code': 'br'}",Viaduto de Igapó,Igapó
319,downloads/1029.kml,-35.252501741051674,-5.776276420801878,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Bacharel Tomaz Landim', 'suburb': 'Jardim Lola', 'city_district': 'São Gonçalo do Amarante', 'city': 'São Gonçalo do Amarante', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296802', 'country': 'Brasil', 'country_code': 'br'}",Avenida Bacharel Tomaz Landim,Jardim Lola
324,downloads/1029.kml,-35.251513347029686,-5.776674058288336,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Hapvida Zona Norte', 'house_number': '1018', 'road': 'Avenida Bacharel Tomaz Landim', 'suburb': 'Igapó', 'city_district': 'São Gonçalo do Amarante', 'city': 'São Gonçalo do Amarante', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296802', 'country': 'Brasil', 'country_code': 'br'}",Avenida Bacharel Tomaz Landim,Igapó
325,downloads/1029.kml,-35.251331208273776,-5.776749411597848,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'shop': 'Mix do Marceneiro', 'road': 'Rua Cristo Rei', 'suburb': 'Jardim Lola', 'city_district': 'São Gonçalo do Amarante', 'city': 'São Gonçalo do Amarante', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296802', 'country': 'Brasil', 'country_code': 'br'}",Rua Cristo Rei,Jardim Lola
342,downloads/1029.kml,-35.24863483384252,-5.779381077736616,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Ponte Presidente Costa e Silva', 'neighbourhood': 'Favela do Mosquito', 'suburb': 'Nordeste', 'city_district': 'São Gonçalo do Amarante', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59296802', 'country': 'Brasil', 'country_code': 'br'}",Ponte Presidente Costa e Silva,Nordeste
364,downloads/1029.kml,-35.24655930697918,-5.784688666462897,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Felizardo Firmino Moura', 'neighbourhood': 'Favela do Mosquito', 'suburb': 'Nordeste', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-027', 'country': 'Brasil', 'country_code': 'br'}",Avenida Felizardo Firmino Moura,Nordeste
415,downloads/1029.kml,-35.24139546789229,-5.7946759555488825,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Alto da Bela Vista', 'suburb': 'Nordeste', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-027', 'country': 'Brasil', 'country_code': 'br'}",Rua Alto da Bela Vista,Nordeste
431,downloads/1029.kml,-35.239381548017256,-5.797408707439899,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Jandira', 'suburb': 'Nordeste', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-027', 'country': 'Brasil', 'country_code': 'br'}",Rua Jandira,Nordeste
441,downloads/1029.kml,-35.23805695585906,-5.798998083919287,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Doutor Mário Negócio', 'suburb': 'Nordeste', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-027', 'country': 'Brasil', 'country_code': 'br'}",Rua Doutor Mário Negócio,Nordeste
444,downloads/1029.kml,-35.23828393779696,-5.799652459099889,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Viaduto da Urbana', 'suburb': 'Quintas', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-027', 'country': 'Brasil', 'country_code': 'br'}",Viaduto da Urbana,Quintas
451,downloads/1029.kml,-35.23754867725074,-5.800842773169278,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Bar da Língua', 'road': 'Avenida Bernardo Vieira', 'suburb': 'Quintas', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-027', 'country': 'Brasil', 'country_code': 'br'}",Avenida Bernardo Vieira,Quintas
476,downloads/1029.kml,-35.23246857337653,-5.802885359153152,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Santa Helena', 'residential': 'Vila Novo Horizonte', 'suburb': 'Quintas', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59035-070', 'country': 'Brasil', 'country_code': 'br'}",Rua Santa Helena,Quintas
480,downloads/1029.kml,-35.23173624649644,-5.803145533427596,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua dos Bandeirantes', 'residential': 'Vila Novo Horizonte', 'suburb': 'Quintas', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59052-065', 'country': 'Brasil', 'country_code': 'br'}",Rua dos Bandeirantes,Quintas
489,downloads/1029.kml,-35.229889964684844,-5.803801082074642,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Bernardo Vieira', 'suburb': 'Dix-Sept Rosado', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59052-200', 'country': 'Brasil', 'country_code': 'br'}",Avenida Bernardo Vieira,Dix-Sept Rosado
498,downloads/1029.kml,-35.227998169139035,-5.804501138627528,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Sampaio Correia', 'suburb': 'Dix-Sept Rosado', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59052-200', 'country': 'Brasil', 'country_code': 'br'}",Rua Sampaio Correia,Dix-Sept Rosado
513,downloads/1029.kml,-35.22494606673717,-5.805573603138328,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua dos Caicós', 'suburb': 'Alecrim', 'city_district': 'Região Leste', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59054600', 'country': 'Brasil', 'country_code': 'br'}",Rua dos Caicós,Alecrim
563,downloads/1029.kml,-35.21484067663551,-5.809317966923118,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Rua Jaguarari', 'residential': 'Vila Coqueiros', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59054590', 'country': 'Brasil', 'country_code': 'br'}",Rua Jaguarari,
564,downloads/1029.kml,-35.214591650292284,-5.809405809268355,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Escola Estadual Cônego do Monte', 'road': 'Avenida Bernardo Vieira', 'residential': 'Vila Coqueiros', 'suburb': 'Lagoa Nova', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59054590', 'country': 'Brasil', 'country_code': 'br'}",Avenida Bernardo Vieira,Lagoa Nova
602,downloads/1029.kml,-35.20517240278423,-5.812857644632459,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Senador Salgado Filho', 'suburb': 'Lagoa Nova', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59015-000', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senador Salgado Filho,Lagoa Nova
666,downloads/1029.kml,-35.210221158340566,-5.826513273641468,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Viaduto do Quarto Centenário', 'suburb': 'Lagoa Nova', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59075-000', 'country': 'Brasil', 'country_code': 'br'}",Viaduto do Quarto Centenário,Lagoa Nova
675,downloads/1029.kml,-35.21103872917592,-5.828718636184932,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'suburb': 'Lagoa Nova', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59064-625', 'country': 'Brasil', 'country_code': 'br'}",,Lagoa Nova
682,downloads/1029.kml,-35.21166452206671,-5.830214470624924,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'office': 'SEJUC - Secretaria de Estado da Justiça e da Cidadania', 'road': 'Avenida Senador Salgado Filho - Marginal', 'suburb': 'Candelária', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59064440', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senador Salgado Filho - Marginal,Candelária
684,downloads/1029.kml,-35.21183660253883,-5.8306085877120495,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Guarda Patrimonial', 'road': 'Avenida Senador Salgado Filho - Marginal', 'suburb': 'Lagoa Nova', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59064440', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senador Salgado Filho - Marginal,Lagoa Nova
711,downloads/1029.kml,-35.212024273350835,-5.836372319608928,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Casanova Eco Bar', 'road': 'Avenida Senador Salgado Filho', 'neighbourhood': 'Bairro Latino', 'suburb': 'Candelária', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59064900', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senador Salgado Filho,Candelária
717,downloads/1029.kml,-35.21163367666304,-5.837587611749767,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Faculdade Fael', 'house_number': '1936', 'road': 'Rua Ascenso Ferreira', 'neighbourhood': 'Conjunto Candelária', 'suburb': 'Candelária', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59064510', 'country': 'Brasil', 'country_code': 'br'}",Rua Ascenso Ferreira,Candelária
769,downloads/1029.kml,-35.208558859303594,-5.848391214385629,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Senador Salgado Filho', 'suburb': 'Capim Macio', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59080-900', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senador Salgado Filho,Capim Macio
771,downloads/1029.kml,-35.208188211545355,-5.8486648835241795,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Engenheiro Roberto Freire', 'suburb': 'Capim Macio', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59080-900', 'country': 'Brasil', 'country_code': 'br'}",Avenida Engenheiro Roberto Freire,Capim Macio
784,downloads/1029.kml,-35.206712074577815,-5.849275588989258,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'amenity': 'Prontoclínica Dr. Paulo Gurgel', 'road': 'Rua Monte Sinai', 'neighbourhood': 'Cidade Jardim', 'suburb': 'Capim Macio', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59080-900', 'country': 'Brasil', 'country_code': 'br'}",Rua Monte Sinai,Capim Macio
785,downloads/1029.kml,-35.20680645480753,-5.849071238189937,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'office': '7º Ofício de Notas', 'road': 'Rua Leôncio Etelvino de Medeiros', 'neighbourhood': 'Cidade Jardim', 'suburb': 'Capim Macio', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59080-900', 'country': 'Brasil', 'country_code': 'br'}",Rua Leôncio Etelvino de Medeiros,Capim Macio
821,downloads/1029.kml,-35.209967605769634,-5.841647386550902,1029,"Nova Natal/Nova Descoberta, via Av. da Chegança/Campus","{'road': 'Avenida Senador Salgado Filho', 'neighbourhood': 'Bairro Latino', 'city': 'Natal', 'municipality': 'Região Geográfica Imediata de Natal', 'state_district': 'Região Geográfica Intermediária de Natal', 'state': 'Rio Grande do Norte', 'region': 'Região Nordeste', 'postcode': '59064900', 'country': 'Brasil', 'country_code': 'br'}",Avenida Senador Salgado Filho,
